supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Household ,Power Force Gel Toilet Discs 75ml,$4.99,$6.65 per 100ml,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-gel-toilet-discs-75ml-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Household/Products/ALN2364_AWARDS_HOME_CLEANING_1x1_228x128_.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Power Force Anti Bac Plus Surface Spray Disinfectant 300g,$3.69,$1.23 per 100g,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-anti-bac-plus-surface-spray-disinfecta-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Household/Products/Q4_2019/ALN2619_Q4_WEB_AUDIT_HOUSEHOLD_1x1_228x128_7_R.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Logix Complete Dishwashing Tablets 30pk,$4.29,14c per tablet,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/logix-complete-dishwashing-tablets-30pk-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Household/Products/2020/ALN2670_Q1_WEB_AUDIT__HOUSEHOLD__1x1_228x128_2.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Logix Platinum Dishwashing Tablets 40pk,$7.69,19c per tablet,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/logix-platinum-dishwashing-tablets-40pk-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Household/Products/2020/ALN2670_Q1_WEB_AUDIT__HOUSEHOLD__1x1_228x128_.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Atlas Kill & Protect High Performance Surface & Cockroach Spray 350g,$2.69,77c per 100g,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/atlas-kill-protect-high-performance-surface-cockro/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Household/Products/ALN2364_AWARDS_HOUSEHOLD_1x1_228x128_.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Atlas Kill & Protect Fast Knockdown Flying Insect Spray 300g,$2.39,80c per 100g,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/atlas-kill-protect-fast-knockdown-flying-insect-sp-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Household/Products/ALN2364_AWARDS_HOUSEHOLD_1x1_228x128_2.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Power Force Pro Multi Purpose Cleaner 750ml,$1.79,24c per 100ml,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-pro-multi-purpose-cleaner-750ml-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Household/2020/ALN2853_AWARDS_HOUSEHOLD_1x1_228x128_4.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Power Force Pro Bath & Shower Cleaner 750ml,$2.39,32c per 100ml,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-pro-bath-shower-cleaner-750ml-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Household/2020/ALN2853_AWARDS_HOUSEHOLD_1x1_228x128_.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Power Force Pro Heavy Duty Cleaner 1.25L,$2.19,18c per 100ml,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-pro-heavy-duty-cleaner-125l-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Household/2020/ALN2853_AWARDS_HOUSEHOLD_1x1_228x128_2.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Tandil Ultra Dishwashing Liquid 450ml,$1.59,35c per 100ml,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/tandil-ultra-dishwashing-liquid-450ml-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Household/Products/Q4_2019/ALN2619_Q4_WEB_AUDIT_HOUSEHOLD_1x1_228x128_6.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Power Force Pro Disinfectant Wipes 120pk,$2.99,$2.50 per 100 wipes,https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/power-force-pro-disinfectant-wipes-120pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Household/2020/ALN2853_AWARDS_HOUSEHOLD_1x1_228x128_3.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Confidence Samson Paper Towel 3ply 3pk,$2.99,$1.66 per 100 sheets ($1.00 per roll),https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/confidence-samson-paper-towel-3ply-3pk-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Household/Products/ALN2364_HOUSEHOLD_1x1_228x128_7.jpg,2020-09-09 04:03:38
 ALDI Australia,Household ,Confidence Toilet Tissue Hypoallgerenic 4ply 8pk,$3.99,36c per 100 sheets (50c per roll),https://www.aldi.com.au/en/groceries/laundry-household/household/skin-care-detail/ps/p/confidence-toilet-tissue-hypoallgerenic-4ply-8pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Household/Products/ALN2364_HOUSEHOLD_1x1_228x128_8.jpg,2020-09-09 04:03:38
